country0,age0,country1,age1,score
0,25,1,26,0.5001228971002992
0,28,0,28,0.5000377070655524
0,22,0,20,0.50004622746945
0,22,0,22,0.5000745604342567
0,22,0,22,0.5000323269017604
0,22,0,24,0.5000139660028912
0,22,0,20,0.5000177116741619
0,22,0,22,0.5000199256334299
0,22,0,20,0.5000840499439024
0,22,0,31,0.5000242028636365
0,22,0,23,0.500513638370228
0,22,0,21,0.5001155686718963
0,22,0,20,0.5000177797959855
0,22,1,30,0.5000189456842458
0,22,0,22,0.5000358352476765
0,22,1,21,0.5002889216527288
0,22,0,21,0.5000195879108297
0,22,0,28,0.5000237063946396
0,22,0,22,0.5001004944977375
0,22,0,24,0.5000281874814224
0,22,0,24,0.5000128053932331
0,22,0,23,0.5000330196210818
0,22,0,28,0.5000123934234778
0,22,0,24,0.5000486604941429
0,22,0,35,0.5000196712636417
0,22,0,29,0.500012699854278
0,22,0,23,0.5000276811194817
0,22,1,32,0.5003301961632968
0,22,0,23,0.5000125960407553
0,22,0,23,0.5000180576052975
0,25,0,26,0.5001165062551829
0,25,1,21,0.5000794711549666
0,25,0,25,0.5000779230156095
0,25,0,23,0.5012000121460239
0,25,0,32,0.5001071441456906
0,25,0,31,0.5000628279813499
0,25,0,28,0.5000299255473484
0,25,0,24,0.5000362542129304
0,25,0,35,0.5001363652750396
0,25,0,32,0.5001379326919151
0,25,0,31,0.5004800056325795
0,25,0,28,0.5001132089084525
0,25,0,25,0.5000376180077692
0,25,0,26,0.5000372675294372
0,25,0,24,0.5000409561244853
0,25,0,28,0.5000727281479781
0,25,0,21,0.5000314964422182
0,25,0,27,0.5000335199566566
0,25,0,21,0.5000697682815298
0,25,0,22,0.500067416541732
0,25,0,26,0.5000385856735601
0,25,0,22,0.5000369235214746
0,25,0,22,0.5000571435449942
0,25,0,25,0.5001818203632132
0,25,0,25,0.500038095696755
0,25,0,26,0.5002727305297929
0,25,0,28,0.5000597022111641
0,25,0,20,0.5000461544017959
0,25,0,22,0.5000606067901123
0,25,0,24,0.5000916041554714
0,25,0,27,0.500071006771718
0,25,1,22,0.5001904784749286
0,25,0,26,0.5000436368889838
0,25,0,25,1.0
0,25,0,22,0.5000398675896199
0,25,0,27,0.500066667469055
0,25,0,25,0.5002666698525156
0,25,0,39,0.5000442809759028
0,25,0,23,0.5000500006019208
0,25,0,25,0.5001276611089389
0,25,1,26,0.5000555562243132
0,25,0,20,0.5000345825489392
0,25,0,19,0.5000618564146381
0,25,0,28,0.500090910184612
0,25,0,25,0.5000641718953751
0,25,0,26,0.5001008415490614
0,25,0,32,0.5000349858439692
0,25,0,36,0.5010000107083723
0,25,0,23,0.5000560754413584
0,25,1,28,0.5000875922947318
0,25,1,22,0.5000311692064557
0,25,0,26,0.5000975621491767
0,25,0,24,0.5000332413974607
0,25,0,28,0.5000321719691272
0,25,0,23,0.5000302270641974
0,25,0,28,0.5000424033373578
0,25,0,31,0.5000419585471079
0,25,0,25,0.5000441181781982
0,25,0,27,0.5000361450134944
0,25,0,26,0.5000418123500803
0,25,0,27,0.50006122522674
0,25,1,23,0.500153848001568
0,25,0,23,0.500279073098951
0,25,0,27,0.5000631586549326
0,25,0,28,0.5000991747466417
0,25,0,31,0.5000495873738087
0,25,0,26,0.5000305347187941
0,25,0,26,0.5003750044453419
0,25,0,26,0.5000314139907991
0,25,0,27,0.5000603022333812
0,25,0,24,0.5000315793275922
0,25,1,23,0.500040134262459
0,25,0,26,0.5000352945425914
1,30,0,31,0.5000179650249825
1,30,0,30,0.5002829491133924
1,30,1,22,0.5001013549157209
1,30,0,26,0.5000170194973526
1,30,0,32,0.5000606319590449
1,30,0,31,0.5000355538190308
1,30,0,33,0.5000181087451823
1,30,0,23,0.5000258204541456
1,30,1,28,0.5000297841203434
1,30,0,31,0.5000478223903212
1,30,1,34,0.5000214220171677
1,30,0,40,0.5000383659854971
1,30,0,20,0.5000334521154491
1,30,0,28,0.5000337849723183
1,30,0,25,0.5000253387292556
1,30,0,36,0.5000331257533482
1,30,1,24,0.5000700080350715
1,30,0,30,0.5000272722065846
1,30,0,31,0.5000828143827343
1,30,0,27,0.5000187590592351
1,30,1,26,0.5000201506808387
1,30,1,39,0.5000170622599087
1,30,1,34,0.5000580408497077
1,30,1,32,0.5004850555225722
1,30,0,32,0.500020703595861
1,30,0,23,0.5000763008920629
1,30,0,36,0.5005658980455612
1,30,0,29,0.5000738128195324
1,30,1,21,0.5000359300499186
1,30,0,26,0.5000254336308632
1,30,0,23,0.5000317326141925
1,30,0,26,0.50005520958877
1,30,0,28,0.5000182058430116
1,30,0,27,0.5000276047944692
1,30,0,31,0.5000237439840601
1,30,1,31,0.5000248746499659
1,30,0,26,0.5000203927310587
1,30,0,27,0.5000328056977612
1,30,1,38,0.5003086717538013
1,30,1,28,0.5000226359314722
1,30,0,28,0.5000565898284777
1,30,0,27,0.5000251510349651
1,30,1,25,0.500024783866572
1,30,1,30,0.5000269475374592
1,30,1,28,0.5000223380902691
1,30,1,32,0.5000307275087682
1,27,0,23,0.5000157126300094
1,27,1,28,0.5000224572023171
1,27,1,26,0.5000301324486625
1,27,1,19,0.5000652181762661
1,27,1,29,0.5004328114277546
1,27,1,31,0.5001012963155168
1,27,1,24,0.5000136026482664
1,27,0,24,0.5000172497351179
1,27,0,22,0.5000147397117432
1,27,0,28,0.5000146942188057
1,27,1,26,0.5000141273795049
1,32,1,29,0.5000324809250034
1,32,1,29,0.5005492226935725
1,32,0,28,0.5000150659652303
1,32,0,24,0.5000663895826772
1,32,0,23,0.5006712720477087
1,32,0,20,0.5000211980773878
1,32,0,27,0.500183074296641
1,32,0,24,0.5000275865390549
1,32,1,34,0.5000184753885516
1,32,0,22,0.50002581817117
1,32,1,19,0.5000827596164926
1,32,1,30,0.5000247600494024
1,32,1,21,0.500377590681916
1,32,0,33,0.5000156514301999
1,32,0,23,0.5000678814833934
1,32,0,33,0.5000236919688417
1,32,0,26,0.5000280997769897
1,32,0,29,0.5000554261654531
1,32,1,34,0.5000377590752978
1,32,0,30,0.5000240695300975
1,32,1,19,0.5000163724987994
1,32,0,26,0.5001139896595183
1,32,0,26,0.5000181424986682
1,32,0,33,0.5000154909027107
1,32,0,29,0.5001232949374833
1,32,0,27,0.5000308237349566
1,32,0,19,0.5000345225831402
1,32,1,38,0.5002746114296216
1,32,0,28,0.5000428471776195
1,32,1,28,0.5000201381735195
1,32,1,23,0.5000212727185053
1,32,0,27,0.5000598163567357
1,32,1,22,0.5000387272567118
1,32,0,24,0.5000218893190408
1,32,0,27,0.5000475704885111
1,32,1,26,0.5000203415894134
1,32,1,30,0.5000239740160893
1,32,0,31,0.5000224589295728
1,32,0,23,0.500016461722226
1,32,1,32,0.5000273368871182
0,26,0,20,0.5000739249402693
0,26,0,26,0.5000221996819098
0,26,0,22,0.5001192337732365
0,26,0,40,0.5000417655031842
0,26,0,27,0.5000222665484214
0,26,0,35,0.5001155077179577
0,26,0,35,0.500031457421579
0,26,0,24,0.5000450761832974
0,26,0,26,0.5000626482545941
0,26,0,29,0.5000803531958387
0,26,0,23,0.5000210014036263
0,26,0,24,0.5000277913311022
0,26,1,34,0.5000476935100541
0,26,0,29,0.5000199258600455
0,26,0,27,0.5000389078635046
0,26,0,29,0.5000203090496613
0,26,0,26,0.5000601015776032
0,26,1,32,0.5005280350951823
0,26,0,25,0.5000786435534025
0,24,0,28,0.5000946424522593
0,24,1,28,0.5001108312922858
0,25,0,28,0.5002418248392739
0,25,1,22,0.5000830145027743
0,25,0,25,0.500036116699528
0,25,0,23,0.5005561969442814
0,25,1,29,0.5005056336219068
0,25,0,32,0.500063930709272
0,25,0,31,0.5002224788547965
0,25,0,25,0.5000241824857942
0,25,1,25,0.500040896850916
0,25,0,28,0.500033708919567
0,25,0,23,0.5011123925120661
0,25,0,21,0.5001390492898399
0,25,0,31,0.500039168814969
0,25,1,25,0.500013835750586
0,25,0,24,0.5001853990494024
0,25,0,23,0.5000373286693063
0,25,0,22,0.5000280907663188
0,25,1,24,0.5000441426327185
0,25,0,22,0.500030560284231
0,25,0,25,0.500038095696755
0,25,0,30,0.5000223372358766
0,25,0,24,0.5000182359729001
0,25,0,25,0.5001235993694153
0,25,0,27,0.5000153645628045
0,25,1,23,0.5000303932881428
0,25,0,31,0.5000219840779976
0,25,0,35,0.5000166526099848
0,25,0,21,0.5000235676768342
0,25,0,26,0.5000258696359628
0,25,0,20,0.500025281689692
0,25,0,22,0.5001209124267079
0,25,0,24,0.5000154071239203
0,25,0,24,0.5000585470706479
0,25,0,28,0.5000196536103679
0,25,0,25,0.5000204484254922
0,25,0,26,0.5000193796924537
0,25,1,36,0.500213921976831
0,25,0,27,0.5000283774067908
0,25,0,26,0.5000471353535636
0,25,0,36,0.5000266123049365
0,25,0,24,0.5000201520714999
0,25,0,20,0.500132427895403
0,25,0,26,0.500014560135433
0,25,0,27,0.5000437950529351
0,25,1,26,0.5000187271775568
0,25,0,27,0.5000279496066894
0,25,1,24,0.5002927353211304
0,25,1,23,0.5000186019121552
0,29,0,33,0.500088085524335
0,29,0,27,0.5004520177037801
0,29,0,31,0.5001919181740724
0,29,0,23,0.5034352814293405
0,29,0,26,0.5001336706382398
0,29,0,29,0.5003151683513417
0,29,0,28,0.5002436407952274
0,29,0,30,0.5001379652770048
0,29,0,25,0.50031230318526
0,29,0,31,0.5001419560079463
0,29,0,26,0.5000874131157661
0,29,0,28,0.500324088207878
0,29,0,30,0.5009040346687107
0,29,0,26,0.5002792955388051
0,29,0,27,0.5001908519620981
0,29,0,20,0.5008179362905223
0,23,0,26,0.5000219221858861
0,23,0,26,0.5000708746393776
0,23,1,22,0.5001089565341676
